16,5,Microwave,1,1620,1600,0.2,0.182,0
16,4,Microwave,0,60,60,1,0.04,0
16,3,Microwave,1,1620,1600,0.2,0.182,0
16,2,Microwave,0,60,60,1,0.04,0
16,1,Microwave,1,1620,1600,1,0.08333333,0
17,3,KitchenLights,0,250,0,0.125,0.33,0
17,2,KitchenLights,0,370,0,0.25,0.33,0
17,1,KitchenLights,0,250,0,0.625,0.33,0
18,0,BedroomOutlets,1,1585,1565,0.008,1,0
19,3,BedroomLights,0,104,0,0,0.33,0
19,2,BedroomLights,0,250,0,0,0.33,0
19,1,BedroomLights,0,5,0,0,0.33,0
20,0,MasterOutlets,1,1585,1565,0.008,1,0
21,0,MasterLights,0,45,0,0,1,0
22,46,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,45,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,44,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,43,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,42,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,41,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,40,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,39,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,38,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,37,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,36,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,35,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,34,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,33,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,32,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,31,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,30,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,29,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,28,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,27,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,26,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,25,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,24,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,23,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,22,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,21,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,20,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,19,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,18,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,17,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,16,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,15,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,14,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,13,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,12,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,11,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,10,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,9,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,8,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,7,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,6,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,5,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,4,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,3,DuctHeaterHRV,4,1110,175,0.005,0.04,0
22,2,DuctHeaterHRV,4,1110,175,0.005,0.00347826,0
22,1,DuctHeaterHRV,4,1110,175,0.005,0.04,0
23,3,CounterOutlets1,1,1585,1565,0.008,0.4,0
23,2,CounterOutlets1,1,1565,1555,0.008,0.2,0
23,1,CounterOutlets1,1,1585,1565,0.008,0.4,0
24,0,CounterOutlets2,1,1000,899,0.008,1,0
25,0,KitchenOutlets,0,600,0,0,0.04166667,0
25,0,KitchenOutlets,0,850,0,0,0.12500001,0
25,0,KitchenOutlets,0,1130,0,0,0.12500001,0
25,0,KitchenOutlets,0,1380,0,0,0.04166667,0
25,0,KitchenOutlets,0,1200,0,0,0.58333333,0
25,0,KitchenOutlets,4,1200,900,0,0.12499998,0
