1,1,5600.0,5350.0,0.05,83215,84454
1,1,2050.0,1950.0,0.001,84455,84565
1,1,5600.0,5350.0,0.05,84566,84795
1,1,2050.0,1950.0,0.001,84796,84949
1,1,5600.0,5350.0,0.05,84950,85093
1,1,2050.0,1950.0,0.001,85094,85320
1,1,5600.0,5350.0,0.05,85321,85425
1,1,2050.0,1950.0,0.001,85426,86129
1,4,510.0,490.0,0.001,86130,87658
1,1,5600.0,5350.0,0.05,87659,88898
1,1,2050.0,1950.0,0.001,88899,89009
1,1,5600.0,5350.0,0.05,89010,89238
1,1,2050.0,1950.0,0.001,89239,89392
1,1,5600.0,5350.0,0.05,89393,89536
1,1,2050.0,1950.0,0.001,89537,89763
1,1,5600.0,5350.0,0.05,89764,89869
1,1,2050.0,1950.0,0.001,89870,90573
1,4,510.0,490.0,0.001,90574,92101
1,1,5600.0,5350.0,0.05,168317,169556
1,1,2050.0,1950.0,0.001,169557,169667
1,1,5600.0,5350.0,0.05,169668,169897
1,1,2050.0,1950.0,0.001,169898,170051
1,1,5600.0,5350.0,0.05,170052,170195
1,1,2050.0,1950.0,0.001,170196,170422
1,1,5600.0,5350.0,0.05,170423,170527
1,1,2050.0,1950.0,0.001,170528,171231
1,4,510.0,490.0,0.001,171232,172760
1,1,5600.0,5350.0,0.05,172761,174000
1,1,2050.0,1950.0,0.001,174001,174111
1,1,5600.0,5350.0,0.05,174112,174340
1,1,2050.0,1950.0,0.001,174341,174494
1,1,5600.0,5350.0,0.05,174495,174638
1,1,2050.0,1950.0,0.001,174639,174865
1,1,5600.0,5350.0,0.05,174866,174971
1,1,2050.0,1950.0,0.001,174972,175675
1,4,510.0,490.0,0.001,175676,177203
2,4,80.0,50.0,0.008,34026,41286
2,4,80.0,50.0,0.008,107199,114459
3,3,230.0,120.0,10.82,18064,101044
3,3,230.0,120.0,10.82,106627,189607
4,3,230.0,120.0,10.82,29635,29875
4,3,230.0,120.0,10.82,119994,120234
5,3,230.0,120.0,10.82,38125,38665
5,3,230.0,120.0,10.82,126715,127255
6,0,129.0,0.0,0.0,74089,74509
6,0,129.0,0.0,0.0,159046,159466
7,0,129.0,0.0,0.0,31446,34806
7,0,129.0,0.0,0.0,116405,119765
8,1,1200.0,900.0,0.02,25931,65711
8,1,1200.0,900.0,0.02,106788,146568
9,0,129.0,0.0,0.0,-87,-87
9,0,129.0,0.0,0.0,83200,83200
10,0,129.0,0.0,0.0,32038,33178
10,0,129.0,0.0,0.0,147583,148723
11,3,280.0,270.0,0.001,22749,58102749
11,1,550.0,500.0,0.001,58102750,58160829
11,3,280.0,270.0,0.001,58160830,116240829
11,1,330.0,310.0,0.001,116240830,145280829
11,2,280.0,270.0,0.001,145280830,174320829
11,1,330.0,310.0,0.001,174320830,203360829
11,2,280.0,270.0,0.001,203360830,232400829
11,1,330.0,310.0,0.001,232400830,261440829
11,2,280.0,270.0,0.001,261440830,290480829
11,1,340.0,340.0,0.001,290480830,290538909
11,1,330.0,310.0,0.001,290538910,319578909
11,2,280.0,270.0,0.001,319578910,348618909
11,1,330.0,310.0,0.001,348618910,377658909
11,2,280.0,270.0,0.001,377658910,406698909
11,1,330.0,310.0,0.001,406698910,435738909
11,2,280.0,270.0,0.001,435738910,464778909
11,1,600.0,600.0,0.001,464778910,464836989
11,1,330.0,310.0,0.001,464836990,493876989
11,2,280.0,270.0,0.001,493876990,522916989
11,1,330.0,310.0,0.001,522916990,551956989
